"ML #","Status","Address","S/A","Price","List Date","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","TotalPrkng","MaintFee","TypeDwel","Bylaw Restrictions","# of Kitchens","# of Pets","# or % of Rentals Allowed","Title to Land","Area","Bath Ensuite # Of Pcs","Bath1 #Pcs","Bath1 Ensuite?","Bath1 Level","Bath2 #Pcs","Bath2 Ensuite?","Bath2 Level","Bath3 #Pcs","Bath3 Ensuite?","Bath3 Level","Bath4 #Pcs","Bath4 Ensuite?","Bath4 Level","Bath5 #Pcs","Bath5 Ensuite?","Bath5 Level","Bath6 #Pcs","Bath6 Ensuite?","Bath6 Level","Bath7 #Pcs","Bath7 Ensuite?","Bath7 Level","Bath8 #Pcs","Bath8 Ensuite?","Bath8 Level","Baths Concatenation","Bds In Bsmt","Bds Not In Bsmt","City","Complex/Subdivision Name","Concatenated Rooms","Confirm Sold Date","Cumulative DOM","Cumulative DOMLS","Days On MLS","Dwelling Classification","Entry Date","Entry Date Delay","Expiry Date","Fireplaces","Floor Area - Unfinished","Floor Area Fin - Abv Main","Floor Area Fin - Basement","Floor Area Fin - BLW Main","Floor Area Fin - Main Flr","Floor Area Fin - Total","Full Baths","Full Height","General Date","Geocode Quality","GST Incl","Half Baths","How Sold","Jurisdiction","Land Lease Expiry Year","List Price","Measurement Type","Member Board Affiliation","Municipality","Neighborhood Code","No. Floor Levels","Postal Code","Price Date","Price Per SQFT","Processed Date","Prop Type","Property Disclosure","Province","Region","Restricted Age","Room 1 Dimension 1","Room 1 Dimension 2","Room 1 Level","Room 1 Type","Room 10 Dimension 1","Room 10 Dimension 2","Room 10 Level","Room 10 Type","Room 11 Dimension 1","Room 11 Dimension 2","Room 11 Level","Room 11 Type","Room 12 Dimension 1","Room 12 Dimension 2","Room 12 Level","Room 12 Type","Room 13 Dimension 1","Room 13 Dimension 2","Room 13 Level","Room 13 Type","Room 14 Dimension 1","Room 14 Dimension 2","Room 14 Level","Room 14 Type","Room 15 Dimension 1","Room 15 Dimension 2","Room 15 Level","Room 15 Type","Room 16 Dimension 1","Room 16 Dimension 2","Room 16 Level","Room 16 Type","Room 17 Dimension 1","Room 17 Dimension 2","Room 17 Level","Room 17 Type","Room 18 Dimension 1","Room 18 Dimension 2","Room 18 Level","Room 18 Type","Room 19 Dimension 1","Room 19 Dimension 2","Room 19 Level","Room 19 Type","Room 2 Dimension 1","Room 2 Dimension 2","Room 2 Level","Room 2 Type","Room 20 Dimension 1","Room 20 Dimension 2","Room 20 Level","Room 20 Type","Room 3 Dimension 1","Room 3 Dimension 2","Room 3 Level","Room 3 Type","Room 4 Dimension 1","Room 4 Dimension 2","Room 4 Level","Room 4 Type","Room 5 Dimension 1","Room 5 Dimension 2","Room 5 Level","Room 5 Type","Room 6 Dimension 1","Room 6 Dimension 2","Room 6 Level","Room 6 Type","Room 7 Dimension 1","Room 7 Dimension 2","Room 7 Level","Room 7 Type","Room 8 Dimension 1","Room 8 Dimension 2","Room 8 Level","Room 8 Type","Room 9 Dimension 1","Room 9 Dimension 2","Room 9 Level","Room 9 Type","Room Type Search","Sold Date","Sold Price","Sold Price per SqFt","SP/LP Ratio","SP/OLP Ratio","Storeys in Building","Title Search","Tot Units in Strata Plan","Units in Development","Zoning"
"R3024368","A","118 7610 EVANS ROAD","H71","$274,800","7/8/2025","36","2","2","1,070","1991","34","1","$270.00","Townhouse","AGER, PETR, RENN","1","1",,"Leasehold prepaid-NonStrata","Sardis","3","4","No","Main","3","Yes","Main",,,,,,,,,,,,,,,,,,,,"0","2","Chilliwack","COTTONWOOD VILLAGE","|FOYERMN|LVGRMMN|DINRMMN|KITCHMN|PBDRMMN|BDRMMN|UTILMN|PATIOMN|",,"36",,,"Attached","7/8/2025 2:13 PM",,"1/15/2026","1","0","0","0","0","1,070","1,070","2",,"7/8/2025",,,"0",,"CITY OF CHILLIWACK","2040","$274,800","Feet","Chilliwack & District Real Estate Board","Chilliwack",,"1","V2R 2X8","8/7/2025","$256.82",,"Residential Attached","Yes","BC","Chilliwack","55+","5'7","4'2","Main","Foyer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17'7","12'2","Main","Living Room",,,,,"5'8","12'3","Main","Dining Room","13'1","9'9","Main","Kitchen","14'1","12'7","Main","Primary Bedroom","11'6","9'3","Main","Bedroom","8'4","4'11","Main","Utility","10'2","25'2","Main","Patio",,,,,,,,,,,,"No",,,"R5"
"R3033932","A","223 7610 EVANS ROAD","H71","$284,900","8/5/2025","8","2","2","1,052","1991","34","1","$270.00","Townhouse","PETR","1","1",,"Leasehold prepaid-NonStrata","Sardis","3","3","Yes","Main","4","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"0","2","Chilliwack","Cottonwood Village","|KITCHMN|DINRMMN|LVGRMMN|PBDRMMN|BDRMMN|LAUNDMN|UTILMN|FOYERMN|",,"8",,,"Attached","8/6/2025 9:18 AM",,"10/31/2025","1","0","0","0","0","1,052","1,052","2",,"8/5/2025",,,"0",,,,"$284,900","Feet","Chilliwack & District Real Estate Board",,,"1","V2R 2Z5","8/5/2025","$270.82",,"Residential Attached","No","BC","Chilliwack","55+","13'","12'2","Main","Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12'2","9'8","Main","Dining Room",,,,,"13'10","12'2","Main","Living Room","14'1","12'7","Main","Primary Bedroom","11'7","9'4","Main","Bedroom","3'","3'","Main","Laundry","8'3","4'11","Main","Utility","5'7","4'2","Main","Foyer",,,,,,,,,,,,"No",,,"R5"
"R3002341","F","1 7455 HURON STREET","H71","$287,000","5/13/2025","5","2","1","1,167","1986","39","1","$482.39","Townhouse","AGER, PETN, RENY","1",,,"Freehold Strata","Sardis","0","4","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,"|1BATH4|","0","2","Chilliwack","Ascott Estates","|LVGRMMN|KITCHMN|DINRMMN|WICLOMN|LAUNDMN|PBDRMMN|BDRMMN|","5/18/2025","5","4","4","Attached","5/14/2025 11:16 AM",,"11/13/2025",,"0","0","0","0","1,167","1,167","1",,"5/18/2025",,,"0","NOT USED",,,"$299,900",,"Chilliwack & District Real Estate Board",,,"1","V2R 2R9","6/3/2025","$245.93","6/3/2025","Residential Attached","Yes","BC","Chilliwack","55+","14'11","15'11","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8'8","11'4","Main","Kitchen",,,,,"9'11","9'10","Main","Dining Room","5'3","12'","Main","Walk-In Closet","5'1","3'3","Main","Laundry","16'3","11'11","Main","Primary Bedroom","12'9","11'3","Main","Bedroom",,,,,,,,,,"5/18/2025","$287,000","$245.93","0.96","0.96","2","No",,,"R5"
"R2998956","F","4 7455 HURON STREET","H71","$294,500","5/6/2025","20","2","1","1,134","1986","39","1","$485.17","Townhouse","AGER, PETN, RENY","1",,"100","Freehold Strata","Sardis","0","4","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,"|1BATH4|","0","2","Chilliwack","Ascott Estates","|LVGRMMN|DINRMMN|KITCHMN|PBDRMMN|BDRMMN|STOREMN|","5/26/2025","95","95","20","Attached","5/6/2025 12:28 PM",,"7/11/2025","0","0","0","0","0","1,134","1,134","1",,"5/26/2025",,,"0","NOT USED",,,"$313,500",,"Chilliwack & District Real Estate Board",,,"1","V2R 2R9","6/4/2025","$259.70","6/4/2025","Residential Attached","No","BC","Chilliwack","55+","16'","14'11","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'4","7'10","Main","Dining Room",,,,,"11'6","8'2","Main","Kitchen","12'","16'4","Main","Primary Bedroom","11'4","12'10","Main","Bedroom","12'","4'10","Main","Storage",,,,,,,,,,,,,,"5/26/2025","$294,500","$259.70","0.94","0.94","2","No","62","62","R5"
"R3011162","A","47 7455 HURON STREET","H71","$299,000","6/6/2025","68","2","1","903","1986","39","1","$387.58","Townhouse","PETN","1",,,"Freehold Strata","Sardis","0","3","No","Main",,,,,,,,,,,,,,,,,,,,,,,"0","2","Chilliwack",,"|LVGRMMN|DINRMMN|KITCHMN|FOYERMN|STOREMN|LAUNDMN|BDRMMN|PBDRMMN|",,"164",,,"Attached","6/6/2025 8:54 AM",,"12/6/2025",,"0","0","0","0","903","903","1",,"6/6/2025",,,"0",,,,"$299,000",,"Chilliwack & District Real Estate Board",,,"1","V2R 3T9","6/17/2025","$331.12",,"Residential Attached","Yes","BC","Chilliwack","55+","14'11","14'0","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7'10","9'5","Main","Dining Room",,,,,"7'5","9'9","Main","Kitchen","4'7","10'8","Main","Foyer","4'0","10'11","Main","Storage","5'0","7'1","Main","Laundry","10'11","9'6","Main","Bedroom","14'1","10'11","Main","Primary Bedroom",,,,,,,,,,,,"No",,,"R5"
"R3032280","A","115 7610 EVANS ROAD","H71","$299,900","7/26/2025","18","2","2","1,076","1994","31","1","$270.00","Townhouse","RENN","1","1",,"Leasehold not prepaid-NonStrata","Sardis","3","3","Yes","Main","4","No","Main",,,,,,,,,,,,,,,,,,,,"0","2","Chilliwack","COTTONWOOD RETIREMENT","|LVGRMMN|KITCHMN|PBDRMMN|DINRMMN|BDRMMN|",,"18",,,"Attached","7/30/2025 1:28 PM",,"1/31/2026",,"0","0","0","0","1,076","1,076","2",,"7/26/2025",,,"0",,,,"$299,900",,"Chilliwack & District Real Estate Board",,,"1","V2R 2Z5","7/30/2025","$278.72",,"Residential Attached","No","BC","Chilliwack","55+","13'9","12'2","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13'","10'","Main","Kitchen",,,,,"14'1","10'3","Main","Primary Bedroom","9'","12'2","Main","Dining Room","11'","9'3","Main","Bedroom",,,,,,,,,,,,,,,,,,,,,,,,"Yes",,,"R5"
"R2988166","A","203 7610 EVANS ROAD","H71","$305,000","4/10/2025","125","2","2","954","1991","34","1","$270.00","Townhouse","AGER, PETR","1","1","0","Leasehold prepaid-NonStrata","Sardis","3","3","Yes","Main","4","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"0","2","Chilliwack","Cottonwood Village","|KITCHMN|DINRMMN|LVGRMMN|PBDRMMN|BDRMMN|FOYERMN|UTILMN|",,"125",,,"Attached","4/10/2025 2:28 PM",,"9/1/2025","1","0","0","0","0","954","954","2",,"4/10/2025",,,"0",,,"2041","$305,000",,"Chilliwack & District Real Estate Board",,,"1","V2R 2Z5","8/6/2025","$319.71",,"Residential Attached","Yes","BC","Chilliwack","55+","11'","11'11","Main","Kitchen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14'10","9'4","Main","Dining Room",,,,,"11'11","12'4","Main","Living Room","12'9","11'11","Main","Primary Bedroom","10'","10'1","Main","Bedroom","4'8","12'7","Main","Foyer","4'11","7'11","Main","Utility",,,,,,,,,,,,,,,,"No",,,"R-5"
"R2990617","A","238 7610 EVANS ROAD","H71","$320,000","4/15/2025","120","2","2","1,079","1990","35","1","$270.00","Townhouse","AGER, PETR, RENN","1","1",,"Leasehold prepaid-NonStrata","Sardis","0","3","No","Main","3","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"0","2","Chilliwack","COTTONWOOD RETIREMENT VILLAGE","|LVGRMMN|DINRMMN|KITCHMN|PBDRMMN|BDRMMN|FOYERMN|",,"120",,,"Attached","4/15/2025 4:18 PM",,"10/16/2025","1","0","0","0","0","1,079","1,079","2",,"4/15/2025",,"No","0",,,,"$320,000",,"Fraser Valley Real Estate Board",,,"1","V2R 2Z5","4/15/2025","$296.57",,"Residential Attached","Yes","BC","Chilliwack","55+","23'7","11'9","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7'2","4'11","Main","Dining Room",,,,,"9'8","7'8","Main","Kitchen","10'5","14'1","Main","Primary Bedroom","9'6","11'7","Main","Bedroom","4'4","5'8","Main","Foyer",,,,,,,,,,,,,,,,,,,,"No",,,"R5"
"R2970448","T","47 7455 HURON STREET","H71","$329,900","2/26/2025","96","2","1","903","1986","39","1","$387.58","Townhouse","AGER, PETN","1",,,"Freehold Strata","Sardis","0","3","No","Main",,,,,,,,,,,,,,,,,,,,,,,"0","2","Chilliwack",,"|LVGRMMN|DINRMMN|KITCHMN|FOYERMN|STOREMN|LAUNDMN|BDRMMN|PBDRMMN|",,"96",,,"Attached","2/26/2025 9:18 AM",,"6/2/2025",,"0","0","0","0","903","903","1",,"6/2/2025",,,"0",,,,"$329,900",,"Chilliwack & District Real Estate Board",,,"1","V2R 3T9","2/25/2025","$365.34",,"Residential Attached","Yes","BC","Chilliwack","55+","14'11","14'0","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7'10","9'5","Main","Dining Room",,,,,"7'5","9'9","Main","Kitchen","4'7","10'8","Main","Foyer","4'0","10'11","Main","Storage","5'0","7'1","Main","Laundry","10'11","9'6","Main","Bedroom","14'1","10'11","Main","Primary Bedroom",,,,,,,,,,,,"No",,,"R5"
"R2978415","T","4 7455 HURON STREET","H71","$333,500","3/18/2025","49","2","1","1,134","1986","39","1","$485.17","Townhouse","AGER, PETN, RENY","1",,"100","Freehold Strata","Sardis","0","4","No","Main",,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"No",,,"0","2","Chilliwack","Ascott Estates","|LVGRMMN|DINRMMN|KITCHMN|PBDRMMN|BDRMMN|STOREMN|",,"75",,,"Attached","3/18/2025 8:36 AM",,"5/6/2025","0","0","0","0","0","1,134","1,134","1",,"5/6/2025",,,"0",,,,"$333,500",,"Chilliwack & District Real Estate Board",,,"1","V2R 2R9","3/17/2025","$294.09",,"Residential Attached","No","BC","Chilliwack","55+","16'","14'11","Main","Living Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9'4","7'10","Main","Dining Room",,,,,"11'6","8'2","Main","Kitchen","12'","16'4","Main","Primary Bedroom","11'4","12'10","Main","Bedroom","12'","4'10","Main","Storage",,,,,,,,,,,,,,,,,,,"2","No","62","62","R5"
